VEL_TYPE,MESH_TYPE,VELOCITY,ORDER,RES,DT,COURANT,W_NORM,V_NORM
v_rigid_body,struct_quad,1,1,16,0.00125,0.02828,0.15964585,0.09604476
v_rigid_body,struct_quad,1,1,16,0.0025,0.05657,0.14029562,0.08886868
v_rigid_body,struct_quad,1,1,16,0.005,0.11314,0.12249994,0.07900723
v_rigid_body,struct_quad,1,1,16,0.00625,0.14142,0.11538365,0.07448368
v_rigid_body,struct_quad,1,1,16,0.0125,0.28284,0.08285252,0.05303139
v_rigid_body,struct_quad,1,1,16,0.025,0.56569,0.02484807,0.01536199
v_rigid_body,struct_quad,1,1,16,0.05,1.13137,0.02335693,0.01354553
v_rigid_body,struct_quad,1,1,32,0.5,22.6274,,
v_rigid_body,struct_quad,1,1,32,0.1,4.52548,0.00241844,0.00086455
v_rigid_body,struct_quad,1,1,32,0.01,0.45255,0.01570925,0.00762356
v_rigid_body,struct_quad,1,1,32,0.001,0.04526,0.08252125,0.02910845
v_rigid_body,struct_quad,1,1,32,0.00125,0.05657,0.07333838,0.02770404
v_rigid_body,struct_quad,1,1,32,0.0025,0.11314,0.05007721,0.02314943
v_rigid_body,struct_quad,1,1,32,0.005,0.22627,0.03274686,0.01702191
v_rigid_body,struct_quad,1,1,32,0.00625,0.28284,0.02742517,0.01439785
v_rigid_body,struct_quad,1,1,32,0.0125,0.56569,0.01041302,0.00401565
v_rigid_body,struct_quad,1,1,32,0.025,1.13137,0.00709166,0.00356652
v_rigid_body,struct_quad,1,1,32,0.05,2.26274,0.00288878,0.00102602
v_rigid_body,struct_quad,1,1,64,0.5,45.2548,,
v_rigid_body,struct_quad,1,1,64,0.1,9.05097,0.00134456,0.00011548
v_rigid_body,struct_quad,1,1,64,0.01,0.9051,0.00832375,0.00099589
v_rigid_body,struct_quad,1,1,64,0.001,0.09051,0.06246472,0.00756351
v_rigid_body,struct_quad,1,1,64,0.00125,0.11314,0.05322345,0.00689848
v_rigid_body,struct_quad,1,1,64,0.0025,0.22627,0.03046521,0.00475968
v_rigid_body,struct_quad,1,1,64,0.005,0.45255,0.01618474,0.00218077
v_rigid_body,struct_quad,1,1,64,0.00625,0.56569,0.01305875,0.00134421
v_rigid_body,struct_quad,1,1,64,0.0125,1.13137,0.00672604,0.0010125
v_rigid_body,struct_quad,1,1,64,0.025,2.26274,0.00351062,0.00035504
v_rigid_body,struct_quad,1,1,64,0.05,4.52548,0.00196825,0.00025725
v_rigid_body,struct_quad,1,1,128,0.5,90.5097,,
v_rigid_body,struct_quad,1,1,128,0.1,18.1019,0.00120503,0.00004447
v_rigid_body,struct_quad,1,1,128,0.01,1.81019,0.0061894,0.00027893
v_rigid_body,struct_quad,1,1,128,0.001,0.18102,0.0466509,0.0021312
v_rigid_body,struct_quad,1,1,128,0.00125,0.22627,0.03944959,0.00184454
v_rigid_body,struct_quad,1,1,128,0.0025,0.45255,0.02183807,0.00099783
v_rigid_body,struct_quad,1,1,128,0.005,0.9051,0.01167791,0.00051011
v_rigid_body,struct_quad,1,1,128,0.00625,1.13137,0.00980629,0.00043918
v_rigid_body,struct_quad,1,1,128,0.0125,2.26274,0.00498336,0.00021132
v_rigid_body,struct_quad,1,1,128,0.025,4.52548,0.00287182,0.00012294
v_rigid_body,struct_quad,1,1,128,0.05,9.05097,0.00181773,0.00007131
